plant_species,type_plant,study,year
Petasites_sp,forb,McNeill et al.,2020
Phleum_alpinum,graminoid,Leader-williams et al,1981
Picea_engelmannii,tree,Rominger and Oldemeyer,1990
Picea_glauca,tree,Christopherson et al.,2019
Picea_mariana,tree,McNeill et al.,2020
Picea_sp,tree,Thompson and McCourt,1981
Pinus_sp,tree,Bjune,2000
Pinus_sylverstris,tree,Roturier and Bergsten,2006
Pleurozium_schreberi,moss,Johnson et al,2001
Pleurozium_schreberi,moss,Johnson et al,2001
Pleurozium_schreberi,moss,Thompson et al,2012
Pleurozium_schreberi,moss,Thompson et al,2015
Pleurozium_schreberi,moss,Thompson et al,2015
Pleurozium_schreberi,moss,Thompson et al,2015
Pleurozium_schreberi,moss,Christopherson et al.,2019
Pleurozium_sp,moss,Kojola et al,1995
Pleurozium_sp,moss,McNeill et al.,2020
Poa_alpina,graminoid,Skogland,1984
Poa_flabellata,graminoid,Leader-williams et al,1981
Poa_malacantha,graminoid,Kazmin et al,2011
Poa_sp,graminoid,Bjorkvoll et al,2009
Poa_sp,graminoid,Bjune,2000
Poa_sp,graminoid,Leader-williams et al,1981
Poa_sp,graminoid,Sormo et al,1999
Poa_sp,graminoid,Sormo et al,1999
Poaceae_sp,graminoid,Rozenfield et al,2012
Polygonum_bistorta,forb,Trudell and White,1981
Polygonum_viviparum,forb,Skogland,1984
Polytrichum_juniperinum,moss,Joo et al,2014
Polytrichum_sp,moss,Bjorkvoll et al,2009
Polytrichum_sp,moss,Kojola et al,1995
Populus_sp,tree,McNeill et al.,2020
Potentilla_hyparctica,forb,Kazmin et al,2011
Potentilla_pulchella,forb,Kazmin and Abaturov,2011
Potentilla_sp,forb,Kazmin and Abaturov,2011
Potentilla_sp,forb,Shank et al,1978
Ptilidium_ciliare,liverwort,Christopherson et al.,2019
Ptilium_sp,moss,Thompson et al,2015
Ptilium_sp,moss,Thompson et al,2015
Ptilium_sp,moss,Thompson et al,2015
Puccinellia_phryganodes,graminoid,Kazmin et al,2011
Racomitrium_lanuginosum,moss,Bjorkvoll et al,2009
Ranunculus_reptans,forb,Christopherson et al.,2019
Ranunculus_sp,forb,Sormo et al,1999
Ranunculus_sp,forb,Sormo et al,1999
Ranunculus_sulphureus,forb,Bjune,2000
Rhododendron_subarcticum,shrub,Zamin et al.,2017
Ribes_triste,shrub,Christopherson et al.,2019
Robus_sp,forb,McNeill et al.,2020
Rosa_sp,forb,McNeill et al.,2020
Rosa_sp,shrub,Thompson et al,2015
Rosa_sp,shrub,Thompson et al,2015
Rosa_sp,shrub,Thompson et al,2015
Rostkovia_magellanica,rush,Leader-williams et al,1981
Rubus_arcticus,forb,Manseau et al.,1996
Rubus_chamaemorus,forb,Manseau et al.,1996
Rubus_chamaemorus,forb,Trudell and White,1981
Rubus_chamaemorus,shrub,White and Trudell,1980
Rubus_sp,shrub,Thompson et al,2015
Rubus_sp,shrub,Thompson et al,2015
Rubus_sp,shrub,Thompson et al,2015
Rumex_arcticus,forb,Kazmin and Abaturov,2011
Salicaceae_sp,shrub,Rozenfield et al,2012
Salicaceae_sp,shrub,Shank et al,1978
Salix_arctica,shrub,Kazmin et al,2011
Salix_arctica,shrub,Larter and Nagy,2004
Salix_bebbiana,shrub,Joo et al,2014
Salix_bebbiana,shrub,Joo et al,2014
Salix_bebbiana,tree,Christopherson et al.,2019
Salix_glauca,shrub,den Herder et al,2008
Salix_glauca,shrub,Kazmin and Abaturov,2011
Salix_glauca,shrub,Manseau et al.,1996
Salix_glauca,shrub,Trudell and White,1981
Salix_herbacea,shrub,Joo et al,2014
Salix_herbacea,shrub,Manseau et al.,1996
Salix_herbacea,shrub,Skogland,1984
Salix_lanata,shrub,Kazmin and Abaturov,2011
Salix_lanata,shrub,Trudell and White,1981
Salix_lapponum,shrub,Skogland,1984
Salix_ovalifolia,shrub,Trudell and White,1981
Salix_phlebophylla,shrub,Kazmin and Abaturov,2011
Salix_phylicifolia,shrub,den Herder et al,2004
Salix_phylicifolia,shrub,Herder et al,2004
Salix_planifolia,shrub,Manseau et al.,1996
Salix_polaris,shrub,Bjorkvoll et al,2009
Salix_polaris,shrub,Bjune,2000
Salix_polaris,shrub,Kazmin et al,2011
Salix_polaris,shrub,Sormo et al,1999
Salix_polaris,shrub,Sormo et al,1999
Salix_polaris,shrub,Van der Wal et al,1999
Salix_polaris,shrub,Hansen et al.,2019
Salix_pulchra,shrub,Gustine et al.,2017
Salix_pulchra,shrub,Kazmin and Abaturov,2011
Salix_pulchra,shrub,Trudell and White,1981
Salix_pulchra,shrub,Trudell and White,1981
Salix_pulchra,shrub,White and Trudell,1980
Salix_reptans,shrub,Kazmin and Abaturov,2011
Salix_reptans,shrub,Kazmin et al,2011
Salix_reticulata,shrub,Trudell and White,1981
Salix_sp,shrub,Kazmin and Abaturov,2011
Salix_sp,shrub,Thompson and McCourt,1981
Salix_sp,shrub,Thompson et al,2015
Salix_sp,shrub,Thompson et al,2015
Salix_sp,shrub,Thompson et al,2015
Salix_sp,tree,Bjune,2000
Salix_sp,tree,Boertje,1984
Salix_sp,tree,Denryter et al.,2017
Salix_sp,tree,McNeill et al.,2020
Salix_uva,shrub,Manseau et al.,1996
Saxifraga_fortunei,forb,Joo et al,2014
Saxifraga_hieracifolia,forb,Kazmin and Abaturov,2011
Saxifraga_nivalis,forb,Bjune,2000
Saxifraga_oppositifolia,forb,Bjune,2000
Saxifraga_oppositifolia,forb,Joo et al,2014
Saxifraga_oppositiofolia,forb,Bjorkvoll et al,2009
Saxifraga_sp,forb,Adamczewski et al,1988
Saxifraga_sp,forb,Shank et al,1978
Saxifraga_sp,forb,Sormo et al,1999
Saxifraga_sp,forb,Sormo et al,1999
Saxifragaceae_sp,forb,Rominger and Oldemeyer,1990
Scirpus_caespitosus,graminoid,Manseau et al.,1996
Selaginella_sp,moss,Thompson and McCourt,1981
Silene_paradoxa,forb,Joo et al,2014
Siphula_ceratites,lichen,Ferguson et al.,2001
Siphula_ceratites,lichen,Ferguson et al.,2001
Solidago_macrophylla,forb,Manseau et al.,1996
Solidago_virgaurea,forb,Skogland,1984
Sorbus_americana,tree,Christopherson et al.,2019
Sphaereophorus_globosus,lichen,Manseau et al.,1996
Sphaerophorus_fragilis,lichen,Ferguson et al.,2001
Sphaerophorus_fragilis,lichen,Ferguson et al.,2001
Sphagnum_magellanicum,moss,Thompson et al,2012
Sphagnum_sp,moss,Thompson and McCourt,1981
Sphagnum_sp,moss,Thompson et al,2015
Sphagnum_sp,moss,Thompson et al,2015
Sphagnum_sp,moss,Thompson et al,2015
Sphagnum_sp,moss,McNeill et al.,2020
Splachnum_sphaericum,moss,Christopherson et al.,2019
Stellaria_longipes,forb,Bjorkvoll et al,2009
Stellaria_sp,forb,Shank et al,1978
Stereocaulon_alpinum,lichen,Johnson et al,2001
Stereocaulon_paschale,lichen,Cote,1998
Stereocaulon_paschale,lichen,Manseau et al.,1996
Stereocaulon_paschale,lichen,Skogland,1984
Stereocaulon_sp,lichen,Kojola et al,1995
Stereocaulon_sp,lichen,Schaefer and Pruitt,1991
Stereocaulon_sp,lichen,Scotter,1964
Stereocaulon_tomentosum,lichen,Joo et al,2014
Stereocaulon_tomentosum,lichen,Scotter,1964
Stereocaulon_sp,lichen,Ferguson et al.,2001
Stereocaulon_sp,lichen,Ferguson et al.,2001
Streptopus_amplexifolius,forb,Denryter et al.,2017
Thamnolia_sp,lichen,White and Trudell,1980
Thamnolia_subuliformis,lichen,Larter and Nagy,2004
Thamnolia_vermicularis,lichen,Shank et al,1978
Thamnolia_vernicularis,lichen,Manseau et al.,1996
Tiarella_trifoliata,forb,Rominger and Oldemeyer,1990
Tomentypnum_sp,moss,Bjune,2000
Trientalis_borealis,forb,Manseau et al.,1996
Trientalis_borealis,forb,McNeill et al.,2020
Trisetum_spicatum,graminoid,Bjorkvoll et al,2009
Trisetum_spicatum,graminoid,Kazmin and Abaturov,2011
Trisetum_spicatum,graminoid,Kazmin et al,2011
Tsuga_heterophylla,tree,Rominger and Oldemeyer,1990
Umbilicaria_sp,lichen,Schaefer and Pruitt,1991
Uncinia_meridensis,sedge,Leader-williams et al,1981
Usnea_hirta,lichen,Scotter,1964
Usnea_sp,lichen,Fischer and Gates,2005
Usnea_sp,lichen,Schaefer and Pruitt,1991
Usnea_sp,lichen,Thompson et al,2012
Usnea_sp,lichen,Thompson et al,2015
Usnea_sp,lichen,Thompson et al,2015
Usnea_sp,lichen,Thompson et al,2015
Vaccinium_caespitosum,shrub,Manseau et al.,1996
Vaccinium_sp,forb,McNeill et al.,2020
Vaccinium_sp,shrub,Boertje,1984
Vaccinium_sp,shrub,Kojola et al,1995
Vaccinium_sp,shrub,Schaefer and Pruitt,1991
Vaccinium_sp,shrub,Thompson and McCourt,1981
Vaccinium_sp,shrub,Thompson et al,2015
Vaccinium_sp,shrub,Thompson et al,2015
Vaccinium_sp,shrub,Thompson et al,2015
Vaccinium_uliginosum,forb,Christopherson et al.,2019
Vaccinium_uliginosum,shrub,Cote,1998
Vaccinium_uliginosum,shrub,Manseau et al.,1996
Vaccinium_vitis,forb,Christopherson et al.,2019
Vaccinium_vitis,shrub,Denryter et al.,2017
Vaccinium_vitis,shrub,Schaefer and Pruitt,1991
Vaccinium_vitis,shrub,Scotter,1964
Vaccinium_vitis,shrub,Skogland,1984
Vaccinium_vitis,shrub,White and Trudell,1980
Vaccinium_vitis,shrub,Zamin et al.,2017
Valeriana_capitata,forb,Kazmin and Abaturov,2011
,animal_parts,Thompson and McCourt,1981
,moss,Leader-williams et al,1981
,moss,Ophof et al.,2013
,moss,Hansen et al.,2019
,lichen,Manseau et al.,1996
,shrub,Boertje,1990
,shrub,Boertje,1990
,forb,Gustine et al.,2014
,forb,Gustine et al.,2014
,forb,Gustine et al.,2014
,forb,Gustine et al.,2014
,forb,Gustine et al.,2014
,forb,Gustine et al.,2014
,forb,Gustine et al.,2014
,forb,Barten et al,2001
,forb,Bjorkvoll et al,2009
,forb,Bjorkvoll et al,2009
,forb,Bjune,2000
,forb,Boertje,1990
,forb,Finstand and Kielland,2011
,forb,Finstand and Kielland,2011
,forb,Finstand and Kielland,2011
,forb,Finstand and Kielland,2011
,forb,Finstand and Kielland,2011
,forb,Fischer and Gates,2005
,forb,Ihl and Klein,2001
,forb,Joly et al,2015
,forb,Jung et al,2015
,forb,Manseau et al.,1996
,forb,Rozenfield et al,2012
,forb,Staaland and White,1991
,forb,Gustine et al.,2014
,forb,Kazmin et al,2011
,graminoid,Bjorkvoll et al,2009
,graminoid,Bjune,2000
,graminoid,Boertje,1990
,graminoid,Ferguson et al.,2001
,graminoid,Ferguson et al.,2001
,graminoid,Gustine et al.,2014
,graminoid,Gustine et al.,2014
,graminoid,Gustine et al.,2014
,graminoid,Gustine et al.,2014
,graminoid,Gustine et al.,2014
,graminoid,Gustine et al.,2014
,graminoid,Gustine et al.,2014
,graminoid,Gustine et al.,2014
,graminoid,Joly et al,2015
,graminoid,Mathiesen et al,2000
,graminoid,Ophof et al.,2013
,graminoid,Post and Klein,1996
,graminoid,Schaefer et al.,2016
,graminoid,Schaefer et al.,2016
,graminoid,McNeill et al.,2020
,graminoid,Hansen et al.,2019
,graminoid,Schaefer and Pruitt,1991
,graminoid,Skogland,1984
,graminoid,Adamczewski et al,1988
,graminoid,Barten et al,2001
,graminoid,Finstand and Kielland,2011
,graminoid,Finstand and Kielland,2011
,graminoid,Finstand and Kielland,2011
,graminoid,Finstand and Kielland,2011
,graminoid,Finstand and Kielland,2011
,graminoid,Fischer and Gates,2005
,graminoid,Gustine et al.,2012
,graminoid,Gustine et al.,2012
,graminoid,Gustine et al.,2012
,graminoid,Gustine et al.,2012
,graminoid,Ihl and Klein,2001
,graminoid,Jung et al,2015
,graminoid,Kazmin and Abaturov,2011
,graminoid,Kazmin et al,2011
,graminoid,Kojola et al,1995
,graminoid,Larter and Nagy,2004
,graminoid,Staaland and White,1991
,forb,Mathiesen et al,2000
,horsetail,Ihl and Klein,2001
,seaweed,Hansen and Aanes,2012
,forb,Kazmin and Abaturov,2011
,forb,Kazmin et al,2011
,lichen,Adamczewski et al,1988
,lichen,Barten et al,2001
,lichen,Bjorkvoll et al,2009
,lichen,Boertje,1984
,lichen,Boertje,1990
,lichen,Ferguson et al.,2001
,lichen,Ferguson et al.,2001
,lichen,Ferguson et al.,2001
,lichen,Ferguson et al.,2001
,lichen,Ferguson et al.,2001
,lichen,Ferguson et al.,2001
,lichen,Finstand and Kielland,2011
,lichen,Finstand and Kielland,2011
,lichen,Finstand and Kielland,2011
,lichen,Finstand and Kielland,2011
,lichen,Finstand and Kielland,2011
,lichen,Fischer and Gates,2005
,lichen,Gustine et al.,2012
,lichen,Gustine et al.,2012
,lichen,Gustine et al.,2012
,lichen,Gustine et al.,2012
,lichen,Gustine et al.,2014
,lichen,Gustine et al.,2014
,lichen,Gustine et al.,2014
,lichen,Gustine et al.,2014
,lichen,Gustine et al.,2014
,lichen,Gustine et al.,2014
,lichen,Gustine et al.,2014
,lichen,Gustine et al.,2014
,lichen,Ihl and Klein,2001
,lichen,Joly and Cameron,2018
,lichen,Joly et al,2015
,lichen,Jung et al,2015
,lichen,Kojola et al,1995
,lichen,Leader-williams et al,1981
,lichen,Mathiesen et al,2000
,lichen,Ophof et al.,2013
,lichen,Schaefer et al.,2016
,lichen,Schaefer et al.,2016
,lichen,Skogland,1984
,lichen,Sormo et al,1999
,lichen,Sormo et al,1999
,lichen,Staaland and White,1991
,lichen,Thompson and McCourt,1981
,lichen,Trudell and White,1981
,lichen,McNeill et al.,2020
,litter,McNeill et al.,2020
,litter,Skogland,1984
,lichen,Manseau et al.,1996
,graminoid,Skogland,1984
,moss,Adamczewski et al,1988
,moss,Barten et al,2001
,moss,Bjorkvoll et al,2009
,moss,Boertje,1984
,moss,Boertje,1990
,moss,Ferguson et al.,2001
,moss,Ferguson et al.,2001
,moss,Finstand and Kielland,2011
,moss,Finstand and Kielland,2011
,moss,Finstand and Kielland,2011
,moss,Finstand and Kielland,2011
,moss,Finstand and Kielland,2011
,moss,Fischer and Gates,2005
,moss,Gustine et al.,2012
,moss,Gustine et al.,2012
,moss,Gustine et al.,2012
,moss,Gustine et al.,2012
,moss,Gustine et al.,2014
,moss,Gustine et al.,2014
,moss,Gustine et al.,2014
,moss,Gustine et al.,2014
,moss,Gustine et al.,2014
,moss,Gustine et al.,2014
,moss,Gustine et al.,2014
,moss,Gustine et al.,2014
,moss,Ihl,2010
,moss,Ihl and Klein,2001
,moss,Johnson et al,2001
,moss,Joly and Cameron,2018
,moss,Joly et al,2015
,moss,Jung et al,2015
,moss,Kazmin and Abaturov,2011
,moss,Kojola et al,1995
,moss,Larter and Nagy,2004
,moss,Manseau et al.,1996
,moss,Mathiesen et al,2000
,moss,Schaefer et al.,2016
,moss,Schaefer et al.,2016
,moss,Shank et al,1978
,moss,Skogland,1984
,moss,Sormo et al,1999
,moss,Sormo et al,1999
,moss,Staaland and White,1991
,fungi,Boertje,1984
,fungi,Boertje,1990
,fungi,Joly and Cameron,2018
,fungi,Thompson et al,2015
,fungi,Thompson et al,2015
,fungi,Thompson et al,2015
,fungi,McNeill et al.,2020
,rhizome,Finstand and Kielland,2011
,rhizome,Finstand and Kielland,2011
,rhizome,Finstand and Kielland,2011
,rush,Jung et al,2015
,seaweed,Leader-williams et al,1981
,seaweed,Hansen et al.,2019
,sedge,Adamczewski et al,1988
,sedge,Barten et al,2001
,sedge,Bjune,2000
,sedge,Finstand and Kielland,2011
,sedge,Finstand and Kielland,2011
,sedge,Finstand and Kielland,2011
,sedge,Finstand and Kielland,2011
,sedge,Finstand and Kielland,2011
,sedge,Fischer and Gates,2005
,sedge,Ihl and Klein,2001
,sedge,Jung et al,2015
,sedge,Kojola et al,1995
,sedge,Larter and Nagy,2004
,sedge,Staaland and White,1991
,shrub,Barten et al,2001
,shrub,Ferguson et al.,2001
,shrub,Ferguson et al.,2001
,shrub,Finstand and Kielland,2011
,shrub,Finstand and Kielland,2011
,shrub,Finstand and Kielland,2011
,shrub,Finstand and Kielland,2011
,shrub,Finstand and Kielland,2011
,shrub,Fischer and Gates,2005
,shrub,Gustine et al.,2014
,shrub,Gustine et al.,2014
,shrub,Gustine et al.,2014
,shrub,Gustine et al.,2014
,shrub,Gustine et al.,2014
,shrub,Gustine et al.,2014
,shrub,Gustine et al.,2014
,shrub,Gustine et al.,2014
,shrub,Ihl and Klein,2001
,shrub,Joly and Cameron,2018
,shrub,Joly et al,2015
,shrub,Jung et al,2015
,shrub,Kazmin et al,2011
,shrub,Kojola et al,1995
,shrub,Ophof et al.,2013
,shrub,Schaefer et al.,2016
,shrub,Schaefer et al.,2016
,shrub,Skogland,1984
,shrub,Staaland and White,1991
,shrub,Thompson and Barboza,2014
,shrub,Thompson and Barboza,2014
,tree,Adamczewski et al,1988
,tree,Fischer and Gates,2005
,tree,Jung et al,2015
,NA,Gustine et al.,2012
,NA,Gustine et al.,2012
,NA,Gustine et al.,2012
,NA,Gustine et al.,2012
,shrub,Finstand and Kielland,2011
,shrub,Finstand and Kielland,2011
,shrub,Finstand and Kielland,2011
,shrub,Finstand and Kielland,2011
,shrub,Finstand and Kielland,2011
,shrub,Mathiesen et al,2000
,lichen,Thomas and Edmonds,1983
Saxifraga_oppositifolia,forb,Thomas and Edmonds,1983
Salix_sp,shrub,Thomas and Edmonds,1983
Dryas_integrifolia,forb,Thomas and Edmonds,1983
,graminoid,Thomas and Edmonds,1983
,moss,Thomas and Edmonds,1983
,lichen,Thomas and Hervieux,1986
,lichen,Thomas and Hervieux,1986
,tree,Thomas and Hervieux,1986
Stereocaulon_sp,lichen,Thomas and Hervieux,1986
,tree,Thomas and Hervieux,1986
,moss,Thomas and Hervieux,1986
Vaccinium_vitis,forb,Thomas and Hervieux,1986
,tree,Thomas and Hervieux,1986
Ledum_sp,forb,Thomas and Hervieux,1986
Alectoria_jubata,lichen,Bergerud,1972
Cladonia_alpestris,lichen,Bergerud,1972
Cladonia_mitis,lichen,Bergerud,1972
Cladonia_rangiferina,lichen,Bergerud,1972
Parmelia_sp,lichen,Bergerud,1972
Calliergonella_schieberi,moss,Bergerud,1972
Larix_laricina,tree,Bergerud,1972
Scirpus_caespitosus,graminoid,Bergerud,1972
Smilacina_trifolia,forb,Bergerud,1972
Cornus_canadensis,forb,Bergerud,1972
Rubus_chamaemorus,forb,Bergerud,1972
Sanguisorba_canadensis,forb,Bergerud,1972
Betula_pulma,shrub,Bergerud,1972
Alnus_crispa,shrub,Bergerud,1972
Amelanchier_bartramiana,shrub,Bergerud,1972
Vaccinium_angustifolium,shrub,Bergerud,1972
Chaedaphne_calyculata,shrub,Bergerud,1972
Kalmia_angustifolia,shrub,Bergerud,1972
Kalmia_polifolia,shrub,Bergerud,1972
,lichen,Bezard et al. ,2015
Vaccinium_sp,shrubs,Bezard et al. ,2015
,moss,Bezard et al. ,2015
,graminoid,Bezard et al. ,2015
Cladina_sp,lichen,Mathiesen et al,1999
Stereocaulon_sp,lichen,Mathiesen et al,1999
Empetrum_sp,shrub,Mathiesen et al,1999
Betula_nana,shrub,Mathiesen et al,1999
Salix_sp,shrub,Mathiesen et al,1999
Vaccinium_vitis,forb,Mathiesen et al,1999
Vaccinium_myrtillus,forb,Mathiesen et al,1999
,graminoid,Mathiesen et al,1999
,moss,Mathiesen et al,1999
,fungi,Mathiesen et al,1999
Calluna_sp,forb,Mathiesen et al,1999
,lichen,Larter and Nagy,1997
,graminoid,Larter and Nagy,1997
,forb,Larter and Nagy,1997
,shrub,Larter and Nagy,1997
,lichen,Gaare and Skogland,1975
,graminoid,Gaare and Skogland,1975
,shrub,Gaare and Skogland,1975
,moss,Gaare and Skogland,1975
,forb,Gaare and Skogland,1975
,fungi,Gaare and Skogland,1975